П/П;№ ПМ;Nm1;Nm2;В на пов-ти, мТл, N;В на пов-ти, мТл, S;Среднее В пары;Отклон. Вср пары от Вср группы; Поток, мВб, N;Поток, мВб, S;Средн. Ф пары;Отклон. от средн. Ф группы; Ф N, мВб        измер на КГ ПМ  К=1,27;Ф S, мВб измер на КГ ПМ  К=1,27;;;;;
66;194 - 710;194;710;346;345;345,5;0,49;11,79;11,77;11,78;-0,43;14,97;14,95;;;;;
67;196 - 453;196;453;342;343;342,5;-0,38;11,75;11,75;11,75;-0,69;14,92;14,92;;;;;
68;197 - 357;197;357;340;341;340,50;-0,96;11,72;11,72;11,72;-0,96;14,88;14,88;;;;;
69;198  - 144;198 ;144;347;348;347,50;1,08;11,83;11,83;11,83;-0,03;15,02;15,02;;;;;
70;201 - 224;201;224;346;342;344,00;0,06;11,82;11,80;11,81;-0,17;15;15;;;;;
71;202 - 129;202;129;341;338;339,50;-1,25;11,73;11,73;11,73;-0,83;14,9;14,9;;;;;
72;203 - 573;203;573;345;347;346,00;0,64;11,85;11,87;11,86;0,25;15,06;15,08;;;;;
73;207 - 491;207;491;346;345;345,5;0,49;11,80;11,80;11,80;-0,25;15;15;;;;;
74;209 - 232;209;232;345;349;347,00;0,93;11,83;11,83;11,83;0,04;15,03;15,03;;;;;
75;21 - 180;21;180;342;340;341,00;-0,81;11,80;11,80;11,80;-0,29;14,98;14,98;;;;;
76;211 - 462;211;462;347;343;345;0,35;11,83;11,83;11,83;-0,03;15,02;15,02;;;;;
77;214 - 807;214;807;341;339;340,00;-1,11;11,87;11,88;11,88;0,41;15,08;15,09;;;;;
78;215 - 608;215;608;345;347;346,00;0,64;11,78;11,82;11,80;-0,25;;;;;;;
79;216 - 548;216;548;346;345;345,50;0,49;11,81;11,81;11,81;-0,16;15;15;;;;;
80;218 - 358;218;358;343;342;342,50;-0,38;11,95;11,97;11,96;1,10;15,17;15,19;;;;;
81;220 - 227;220;227;345;342;343,50;-0,09;11,83;11,83;11,83;0,04;15,03;15,03;;;;;
82;221 - 776;221;776;346;348;347,00;0,93;11,80;11,82;11,81;-0,19;14,98;15,01;;;;;
83;222 - 675;222;675;340;341;340,50;-0,96;11,85;11,87;11,86;0,24;15,05;15,07;;;;;
84;223 - 4;223;4;352;351;351,50;2,24;11,89;11,89;11,89;0,51;15,1;15,1;;;;;
85;225 - 193;225;193;342;345;343,50;-0,09;11,82;11,82;11,82;-0,08;15,06;15,06;;;;;
86;226 - 773;226;773;347;346;346,5;0,79;11,80;11,81;11,80;-0,23;14,98;15;;;;;
87;229 -234;229;34;348;348;348,00;1,22;11,79;11,79;11,79;-0,36;14,97;14,97;;;;;
88;230 - 233;230;233;343;347;345,00;0,35;11,81;11,81;11,81;-0,16;15;15;;;;;
89;237 - 252;237;252;345;343;344;0,06;11,81;11,81;11,81;-0,16;15;15;;;;;
90;238 - 103;238;103;341;345;343,00;-0,23;11,82;11,82;11,82;-0,09;15,01;15,01;;;;;
91;24 - 758;24;758;344;343;343,5;-0,09;11,96;11,96;11,96;1,10;15,19;15,19;;;;;
92;240 - 22;240;22;343;345;344;0,06;11,81;11,81;11,81;-0,16;15;15;;;;;
93;243 - 579;243;579;343;341;342,00;-0,52;11,81;11,79;11,80;-0,25;;;;;;;
94;245 - 204;245;204;345;346;345,50;0,49;11,83;11,83;11,83;-0,03;15,02;15,02;;;;;
95;246 - 235;246;235;347;350;348,50;1,37;11,85;11,87;11,86;0,25;;;;;;;
96;249 - 574;249;574;341;344;342,50;-0,38;11,83;11,83;11,83;-0,03;15,02;15,02;;;;;
97;250 - 365;250;365;346;346;346,00;0,64;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
98;26 - 126;26;126;346;347;346,50;0,79;11,84;11,85;11,85;0,14;15,04;15,05;;;;;
99;27 - 406;27;406;338;342;340,00;-1,11;11,73;11,73;11,73;-0,83;14,9;14,9;;;;;
100;2899 - 2904;2899;2904;339;340;339,50;-1,25;11,87;11,87;11,87;0,37;15,08;15,08;;;;;
